Home_Team,Home_Goals,Away_Goals,Away_Team
Flamengo,3,0,Coritiba
Botafogo,2,1,São Paulo
Palmeiras,2,1,Cuiabá
Corinthians,2,1,Cruzeiro
Bragantino,2,1,Bahia
Atlético-MG,1,2,Vasco
Grêmio,1,0,Santos
Athletico-PR,2,0,Goiás
Fortaleza,1,1,Internacional
América-MG,0,3,Fluminense
Fluminense,2,0,Athletico-PR
Vasco,2,2,Palmeiras
São Paulo,3,0,América-MG
Santos,0,0,Atlético-MG
Goiás,3,1,Corinthians
Cruzeiro,1,0,Grêmio
Internacional,2,1,Flamengo
Coritiba,0,3,Fortaleza
Bahia,1,2,Botafogo
Cuiabá,1,1,Bragantino
Flamengo,2,3,Botafogo
Vasco,0,1,Bahia
Palmeiras,2,1,Corinthians
Santos,3,2,América-MG
Bragantino,0,3,Cruzeiro
Atlético-MG,2,1,Athletico-PR
Internacional,1,0,Goiás
Coritiba,1,1,São Paulo
Fortaleza,4,2,Fluminense
Cuiabá,1,2,Grêmio
Fluminense,1,1,Vasco
Botafogo,2,0,Atlético-MG
São Paulo,2,0,Internacional
Corinthians,1,1,Fortaleza
Goiás,0,5,Palmeiras
Cruzeiro,2,1,Santos
Grêmio,3,3,Bragantino
Athletico-PR,2,1,Flamengo
Bahia,3,1,Coritiba
América-MG,1,2,Cuiabá
Flamengo,2,0,Goiás
Botafogo,3,0,Corinthians
Palmeiras,4,1,Grêmio
Santos,3,0,Bahia
Bragantino,2,2,América-MG
Cruzeiro,0,2,Fluminense
Internacional,0,2,Athletico-PR
Coritiba,1,1,Vasco
Fortaleza,0,0,São Paulo
Cuiabá,0,4,Atlético-MG
Fluminense,2,0,Cuiabá
Vasco,0,1,Santos
Palmeiras,1,1,Bragantino
Corinthians,1,1,São Paulo
Goiás,2,1,Botafogo
Atlético-MG,2,0,Internacional
Grêmio,0,0,Fortaleza
Athletico-PR,3,2,Coritiba
Bahia,2,3,Flamengo
América-MG,0,4,Cruzeiro
Flamengo,1,0,Corinthians
Botafogo,1,0,Fluminense
São Paulo,4,2,Vasco
Santos,0,0,Palmeiras
Bragantino,2,0,Athletico-PR
Cruzeiro,0,1,Cuiabá
Grêmio,3,1,Internacional
Coritiba,1,2,Atlético-MG
Bahia,1,1,Goiás
América-MG,2,1,Fortaleza
Flamengo,1,1,Cruzeiro
Botafogo,2,0,América-MG
São Paulo,2,1,Goiás
Corinthians,2,0,Fluminense
Bragantino,2,0,Santos
Atlético-MG,1,1,Palmeiras
Internacional,2,0,Bahia
Athletico-PR,1,2,Grêmio
Fortaleza,2,0,Vasco
Cuiabá,1,1,Coritiba
Fluminense,2,1,Bragantino
Vasco,1,4,Flamengo
Palmeiras,3,1,Coritiba
Santos,1,1,Internacional
Goiás,0,1,Cuiabá
Cruzeiro,0,1,Atlético-MG
Grêmio,2,1,São Paulo
Athletico-PR,1,0,Botafogo
Fortaleza,0,0,Bahia
América-MG,2,0,Corinthians
Flamengo,3,0,Grêmio
Botafogo,2,0,Fortaleza
São Paulo,0,2,Palmeiras
Corinthians,1,1,Cuiabá
Goiás,2,2,Fluminense
Atlético-MG,1,1,Bragantino
Internacional,2,1,Vasco
Coritiba,0,0,Santos
Bahia,2,2,Cruzeiro
América-MG,2,2,Athletico-PR
Fluminense,1,1,Atlético-MG
Vasco,0,1,Goiás
